model,R2,RMSE,MAE
RandomForest,0.7288763654391199,101770746.80664201,43860736.92483934
GradientBoosting,0.7261690195395747,102277608.17697306,43760947.0566116
LightGBM (tuned),0.7163415683215808,104096738.15618144,43446670.28246236
Ensemble (Ridge+XGB+LGB),0.7090867553647164,105419516.39980832,43723152.81386186
XGBoost (tuned),0.6974309296763591,107510662.47004996,44035534.65226477
Ridge,0.574247945997506,127531553.0484588,51573384.79945114
LinearRegression,0.5152507565901296,136081109.80092686,53193763.372480474
